system:index,region,vegClimZoneLab,index,pop,ref,skog,ssbid
13094,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13094
13095,Østlandet,Nordboreal sone (NB),1,0.174896240234375,0.1333722601996528,6.176461364746097,13095
13096,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13096
13097,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13097
13098,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13098
13099,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13099
13100,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13100
13101,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13101
13102,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13102
13103,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13103
13104,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13104
13105,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13105
13106,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13106
13107,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13107
13108,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13108
13109,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13109
13110,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13110
13111,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13111
13112,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13112
13113,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13113
13114,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13114
13115,Østlandet,Nordboreal sone (NB),0.9675,0.942138671875,0.1333722601996528,6.176461364746097,13115
13116,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13116
13117,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13117
13118,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13118
13119,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13119
13120,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13120
13121,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13121
13122,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13122
13123,Østlandet,Nordboreal sone (NB),1,0.1333722601996528,0.1333722601996528,6.176461364746097,13123
13124,Østlandet,Nordboreal sone (NB),0.8491,1.667572021484375,0.1333722601996528,6.176461364746097,13124
13125,Østlandet,Nordboreal sone (NB),0.9997,0.261016845703125,0.1333722601996528,6.176461364746097,13125
